"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2005","2005","AUD","Australian Dollar","6","Millions",,,998904,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2006","2006","AUD","Australian Dollar","6","Millions",,,1088284,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2007","2007","AUD","Australian Dollar","6","Millions",,,1179153,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2008","2008","AUD","Australian Dollar","6","Millions",,,1261261,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2009","2009","AUD","Australian Dollar","6","Millions",,,1304017,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2010","2010","AUD","Australian Dollar","6","Millions",,,1418403,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2011","2011","AUD","Australian Dollar","6","Millions",,,1500176,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2012","2012","AUD","Australian Dollar","6","Millions",,,1536498,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2013","2013","AUD","Australian Dollar","6","Millions",,,1598597,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","AUD","Australian Dollar","6","Millions",,,1623305,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2015","2015","AUD","Australian Dollar","6","Millions",,,1657538,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2016","2016","AUD","Australian Dollar","6","Millions",,,1758828,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2017","2017","AUD","Australian Dollar","6","Millions",,,1842635,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2018","2018","AUD","Australian Dollar","6","Millions",,,1946613,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2019","2019","AUD","Australian Dollar","6","Millions",,,1979471,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2020","2020","AUD","Australian Dollar","6","Millions",,,2080419,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2021","2021","AUD","Australian Dollar","6","Millions",,,2309051,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","V","Constant prices, national base year","2005","2005","AUD","Australian Dollar","6","Millions","2020","2020",1440397,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","V","Constant prices, national base year","2006","2006","AUD","Australian Dollar","6","Millions","2020","2020",1494814,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","V","Constant prices, national base year","2007","2007","AUD","Australian Dollar","6","Millions","2020","2020",1548153,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","V","Constant prices, national base year","2008","2008","AUD","Australian Dollar","6","Millions","2020","2020",1577111,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","V","Constant prices, national base year","2009","2009","AUD","Australian Dollar","6","Millions","2020","2020",1611911,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","V","Constant prices, national base year","2010","2010","AUD","Australian Dollar","6","Millions","2020","2020",1650458,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","V","Constant prices, national base year","2011","2011","AUD","Australian Dollar","6","Millions","2020","2020",1714859,,
